np,title,date,appends,subindex_count
http://purl.org/np/RA5rwWe7m-iWz8TF1kHIDCs9kLjwqIYeY3ZwLRQ5K0NZY,,2017-05-04T21:52:05.255+02:00,http://purl.org/np/RAD8JSQjX-pzfJ0r5HYXJy7ofh_m9HTv-6wM8WcC7y-9s,0
http://np.inn.ac/RAV0-Gv-hPd05NWFQETchbhflTe5M44PolFlTkzwMWed4,My example dataset,2016-11-28T13:00:33.681+01:00,,0
http://np.inn.ac/RANwPKrLBWo35dliB-75p4rnTt393KJK8LVZDiRN3mUZA,Human Protein Atlas data,2016-11-02T17:03:52.151+01:00,http://np.inn.ac/RALvOqM6vdZ5vIWJqCo9CTjK80YLR6-TvtTDXPJc0d7Sc,0
http://np.inn.ac/RA0ImMGdhttIJxDJsPw7HiRLZiqpIIhRhzw0Y6r8LvmKg,,2016-11-02T14:08:25.688+01:00,,0
http://np.inn.ac/RAtyhkWi1DEMnlombfdWvO4zqi2OgCoNz3MRy-YucWH2Q,,2016-11-02T14:07:28.420+01:00,,0
http://np.inn.ac/RAK92fVJCMpJ3Ie3jMXiehtKnFNzvGd3MQnXOj55CgML8,,2016-11-02T14:05:36.160+01:00,http://np.inn.ac/RA4GdqzUt_1RhIFxEAhqCo_TKTgwe5iq-62aqo34BE6SA,0
http://np.inn.ac/RAwepzy1rtZCwp_ABboUHReraz95kc4-EM-RP6V4RkKzc,,2016-11-02T14:02:28.680+01:00,http://np.inn.ac/RATYyo_g_aRvEQ0XutBdujelQBhSpFCgkQdX5uv8BBWw0,0
http://np.inn.ac/RAwMqPOC0ZdZquSGih3aNsUuwGAGGtaCR3L4r5IRkK5x0,Rett Syndrome data from DisGeNET v4.0.0,2016-11-02T09:02:33.719+01:00,,0
http://np.inn.ac/RAhoIw-XmyVv7DfMKyni67OHBFRqPvHAodr_iRgJxhtxY,Rett Syndrome data from DisGeNET v3.0.0.0,2016-11-01T14:41:45.332+01:00,http://np.inn.ac/RAi_mvwC-GXV0rxivi4E52uPSQMxIVdrHf2dOj5TnZHgE,0
http://rdf.disgenet.org/nanopub-server/RAyRv500NbzzqmkouEraxBX-Op9Hg4Wps0HrQkNFyeNLQ,Nanopubs extracted from DisGeNET v4.0.0.0 (Nanopub Index),2016-05-13T17:56:25.699+02:00,http://rdf.disgenet.org/nanopub-server/RAFVifr59wugsBTNIHOtl5v4AKuJcWy2c9at4LPxc-8z0,0
http://np.inn.ac/RAxM_p9YP3oZrQZQm_pDg_tVpUKg15UPy_VY90fXiF-NQ,Regional goverments of Czech Republic,2016-01-09T19:32:12.424+01:00,,0
http://np.inn.ac/RAnAgWoQuJYRDoC02iZdnPP8CHyDNHTY_HKVCj5BqwdxM,,2016-01-09T16:37:47.566+01:00,,0
http://rdf.disgenet.org/nanopub-server/RAVEKRW0m6Ly_PjmhcxCZMR5fYIlzzqjOWt1CgcwD_77c,Nanopubs extracted from DisGeNET v3.0.0.0,2015-11-15T21:19:51.473+01:00,http://rdf.disgenet.org/nanopub-server/RAEuKLHzdnxz1jxw0ZYoEbXjsH8T3KEciBIKl5G69fOmA,0
http://np.inn.ac/RAFa_x4h0ng_NXtof35Ie9pQVsAY69Ab3ZQMir2NP8vGc,,2015-08-18T16:02:44.237+02:00,,0
http://np.inn.ac/RA7SuQ0e661LJdKpt5EOS2DKykf1ht9LFmNaZtFSDMrXg,Linked Drug-Drug Interactions (LIDDI) dataset v1.01,2015-07-17T14:32:43.668+02:00,http://np.inn.ac/RAaVtjjDdU7foZT3i90sc8Du_vHS69f7_rhqqo3pUoVus,0
http://np.inn.ac/RA6jrrPL2NxxFWlo6HFWas1ufp0OdZzS_XKwQDXpJg3CY,Data about CDKN2A from BEL2nanopub & neXtProt,2015-04-14T08:40:34.384+02:00,,0
http://np.inn.ac/RAXsXUhY8iDbfDdY6sm64hRFPr7eAwYXRlSsqQAz1LE14,,2015-04-09T09:05:46.437+02:00,,0
